GEOID,% Black,% Ame Indi and AK Native,% Asian,% Nati Hawa and Paci Island,% Hispanic or Latino,% male,% married,% age 18-29,% age 30-39,% age 40-49,% age 50-59,% age >=60,% <highschool,median income,% unemployment,% below poverty line,% food stamp/SNAP,median value units built,median year units built,% renter-occupied housing units,population density
6037113213,0.047637873,0.012057719,0.226724649,0.0,0.276339197,0.497331488,0.452864643,0.174935758,0.137181261,0.129076893,0.156157343,0.218422613,0.080767153,84274,0.020064493,0.045315993,0.040380048,520600,1975,0.387173397,3889.982768
36047007400,0.016666667,0.005492424,0.259469697,0.0,0.643371212,0.532954545,0.521836786,0.152272727,0.161931818,0.151136364,0.096212121,0.146022727,0.51587057,34965,0.080849142,0.43624546,0.385308385,1002000,1939,0.774081774,37394.03254
36047037401,0.056630486,0.0,0.106654082,0.0,0.051911279,0.468145352,0.515932793,0.167059934,0.143699858,0.080462482,0.113025012,0.289995281,0.093299134,49761,0.06219865,0.164686312,0.242293131,534900,1956,0.679286101,18803.63117
6037113211,0.013489438,0.00330873,0.152201578,0.0,0.114023925,0.44057012,0.627403846,0.0705014,0.135403411,0.117078137,0.153983202,0.341817256,0.03956256,93009,0.024697111,0.055112027,0.013690106,476600,1977,0.172993155,539.5517971
36047028200,0.000561167,0.002805836,0.506453423,0.0,0.081649832,0.469977553,0.593391304,0.121212121,0.13047138,0.135241302,0.179292929,0.2003367,0.157689305,60292,0.056419113,0.195847363,0.257425743,760100,1951,0.585808581,14699.69561
36005048400,0.800533204,0.039990305,0.002181289,0.0,0.153902084,0.462675715,0.328432732,0.207464857,0.095976733,0.16165778,0.193407659,0.143722734,0.170136396,73600,0.088577154,0.044438928,0.136436597,432500,1965,0.429373997,5921.482236
36085003300,0.296679369,0.0,0.08328797,0.0,0.169025585,0.5,0.518657994,0.125204137,0.140990746,0.131736527,0.172563963,0.194338596,0.06202144,93906,0.066282421,0.074305934,0.105608157,549500,1946,0.472687546,4315.225204
36047036002,0.007371573,0.0,0.035014974,0.0,0.07878369,0.412117024,0.5210365,0.016355678,0.169315826,0.051831375,0.093526837,0.491822161,0.111892044,19363,0.127659574,0.396078431,0.540411286,165600,1939,0.929220469,50488.72058
6037121101,0.01137931,0.011034483,0.077241379,0.0,0.679310345,0.506206897,0.414875322,0.197241379,0.163103448,0.133793103,0.158275862,0.112068966,0.319651103,50833,0.079044118,0.184365272,0.144251627,407100,1970,0.567245119,6143.325912
6037264103,0.008124077,0.009231905,0.082348597,0.0,0.045790251,0.485967504,0.363486842,0.165435746,0.269202363,0.164697194,0.09084195,0.204948301,0.064748201,100160,0.09373408,0.166174298,0.005387205,846000,1974,0.767003367,11751.33005
